Abs,Equipment,,,,Legs,,,,,Arms,,,,,Chest,,,,,Shoulders,,,,,Back,,,,Hips/Glutes,,,,Legs + Biceps,,
Long arm crunch,,50,,,Barbell seated heel raise,Bench/Dumbbells,247,,,Barbell Reverse-Grip Curl,Bar,89,,,,,,,,,,,,,,,,,,,,,,,
Lying Leg Raise,,51,,,Ankle flexion with tubing,Bands,250,,,Cable reverse-grip curl,"Cable tower, bar",90,,,,,,,,,,,,,,,,,,,,,,,
Negative situp,"Bench, Bands",52,,,Ankle flexion with weight plate,"Bench, Weight Plate",250,,,Close-grip bench press,"Bench, bar ",90,,,,,,,,,,,,,,,,,,,,,,,
One-arm rotation,Cable tower,53,,,Heel walk,,251,,,Dips,,91,,,,,,,,,,,,,,,,,,,,,,,
One-legged anterior reach,Cable tower,54,,,,,,,,Cable kickback,Cable tower,92,,,,,,,,,,,,,,,,,,,,,,,
Reverse Crunch,,55,,,,,,,,Single-arm dumbbell kickback,Bench,93,,,,,,,,,,,,,,,,,,,,,,,
Rowing Crunch,Bench,56,,,,,,,,Single-Arm Dumbbell Lying Cross-Shoulder Triceps Extension,,94,,,,,,,,,,,,,,,,,,,,,,,
Russian Twist,,57,,,,,,,,Barbell Decline Lying Triceps Extension,,94,,,,,,,,,,,,,,,,,,,,,,,
Russian twist on ball,Ball,58,,,,,,,,Barbell Incline Lying Triceps Extension,,95,,,,,,,,,,,,,,,,,,,,,,,
Side-Lying Hip Lift,,58,,,,,,,,Barbell Lying Triceps Extension,,96,,,,,,,,,,,,,,,,,,,,,,,
Stability ball crunch,Ball,59,,,,,,,,Cable lying triceps extension ,Cable tower,97,,,,,,,,,,,,,,,,,,,,,,,
Straight-Arm Bar Rollout,Bar,60,,,,,,,,Double Dumbbell Lying Triceps Extension,,98,,,,,,,,,,,,,,,,,,,,,,,
Trunk Rotation,,60,,,,,,,,Seated One-Arm Dumbbell Triceps Extension,,98,,,,,,,,,,,,,,,,,,,,,,,
Trunk rotation with cable,Cable tower,61,,,,,,,,Band lying triceps extension ,"Bench, band",99,,,,,,,,,,,,,,,,,,,,,,,
Trunk Twist,Bench,62,,,,,,,,One-arm cable triceps extension ,Cable tower,100,,,,,,,,,,,,,,,,,,,,,,,
Trunk Twist With Dumbbells,"Bench, dumbbell ",63,,,,,,,,Barbell Seated Overhead Triceps Extension,,100,,,,,,,,,,,,,,,,,,,,,,,
Vertical Leg Crunch,,64,,,,,,,,Dumbbell Seated Overhead Triceps Extension,,101,,,,,,,,,,,,,,,,,,,,,,,
Weight Curlup,,64,,,,,,,,Cable pushdown,"Cable tower, short bar",102,,,,,,,,,,,,,,,,,,,,,,,
